ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0992,Blank Slot 81,Summon Demon,Vlad the Impaler,None
0993,Blank Slot 82,Summon Demon,Vlad the Impaler,None
0994,Blank Slot 83,Summon Demon,Vlad the Impaler,None
0995,Blank Slot 84,Summon Demon,Vlad the Impaler,None
0996,Blank Slot 85,Summon Demon,Vlad the Impaler,None
0997,Blank Slot 86,Summon Demon,Vlad the Impaler,None
0998,Damage,Damage,Vlad the Impaler,None
0999,Player Card,Player,Vlad the Impaler,None
1000,Basalt Untap,Instant Effect,Vlad the Impaler,None
1001,Blessing PowerUp,Instant Effect,Vlad the Impaler,None
1002,Silly Orb Thing,Instant Effect,Vlad the Impaler,None
1003,Black Protection,Instant Effect,Vlad the Impaler,None
1004,Blue Protection,Instant Effect,Vlad the Impaler,None
1005,Green Protection,Instant Effect,Vlad the Impaler,None
1006,Red Protection,Instant Effect,Vlad the Impaler,None
1007,White Protection,Instant Effect,Vlad the Impaler,None
1008,Rewind Beast,Instant Effect,Vlad the Impaler,None
1009,Conserve Life,Instant Effect,Vlad the Impaler,None
1010,Blue Lucky Charm,Instant Effect,Vlad the Impaler,None
1011,Creative Irrigation,Instant Effect,Vlad the Impaler,None
1012,Cancel Green,Interrupt Effect,Vlad the Impaler,None
1013,Consume Land,Instant Effect,Vlad the Impaler,None
1014,Discard Therapy,Instant Effect,Vlad the Impaler,None
1015,Whelp Up,Instant Effect,Vlad the Impaler,None
1016,Urban Renewal,Instant Effect,Vlad the Impaler,None
1017,Thanks Drive Thru,Instant Effect,Vlad the Impaler,None
1018,Bumper Crop,Instant Effect,Vlad the Impaler,None
1019,Now Thats a Fire,Instant Effect,Vlad the Impaler,None
1020,Stay Away,Instant Effect,Vlad the Impaler,None
1021,Shade PowerUp,Instant Effect,Vlad the Impaler,None
1022,Rural Renewal,Instant Effect,Vlad the Impaler,None
1023,Peekaboo,Instant Effect,Vlad the Impaler,None
1024,Up Up and Away,Instant Effect,Vlad the Impaler,None
1025,Stone Skin,Instant Effect,Vlad the Impaler,None
1026,Empty Slot 1,Instant Effect,Vlad the Impaler,None
1027,Band Together,Instant Effect,Vlad the Impaler,None
1028,ArmorUp,Instant Effect,Vlad the Impaler,None
1029,Empty Slot 2,Instant Effect,Vlad the Impaler,None
1030,Icy Touch,Instant Effect,Vlad the Impaler,None
1031,Good Drugs,Instant Effect,Vlad the Impaler,None
1032,Untap Once,Instant Effect,Vlad the Impaler,None
1033,Red Lucky Charm,Instant Effect,Vlad the Impaler,None
1034,White Lucky Charm,Instant Effect,Vlad the Impaler,None
1035,Monolith Redirect,Instant Effect,Vlad the Impaler,None
1036,Dont Touch The Idol,Instant Effect,Vlad the Impaler,None
1037,Musty Tome,Instant Effect,Vlad the Impaler,None
1038,Pay The Shark,Instant Effect,Vlad the Impaler,None
1039,Red Rover Red Rover,Instant Effect,Vlad the Impaler,None
1040,History Eraser Button,Instant Effect,Vlad the Impaler,None
1041,Dudley DoRight,Instant Effect,Vlad the Impaler,None
1042,Dangerous Artillery,Instant Effect,Vlad the Impaler,None
1043,OnTheChin,Instant Effect,Vlad the Impaler,None
1044,Germ Warfare,Instant Effect,Vlad the Impaler,None
1045,Tim on a Boat,Instant Effect,Vlad the Impaler,None
1046,Tims Poke,Instant Effect,Vlad the Impaler,None
1047,Hes Not Dead Yet,Instant Effect,Vlad the Impaler,None
1048,Save A Head,Instant Effect,Vlad the Impaler,None
1049,Tim on a Stick,Instant Effect,Vlad the Impaler,None
1050,Royal Stab,Instant Effect,Vlad the Impaler,None
1051,Shivan PowerUp,Instant Effect,Vlad the Impaler,None
1052,Fastball Special,Instant Effect,Vlad the Impaler,None
1053,Bzzzz,Instant Effect,Vlad the Impaler,None
1054,Black Lucky Charm,Instant Effect,Vlad the Impaler,None
1055,Buddha Flame,Instant Effect,Vlad the Impaler,None
1056,Waterbreathing,Instant Effect,Vlad the Impaler,None
1057,Green Lucky Charm,Instant Effect,Vlad the Impaler,None
1058,Restore Land,Interrupt Effect,Vlad the Impaler,None
1059,Cancel Black,Interrupt Effect,Vlad the Impaler,None
1060,Banshee Scream,Instant Effect,Vlad the Impaler,None
1061,In the Slammer,Instant Effect,Vlad the Impaler,None
1062,Tree Killers,Instant Effect,Vlad the Impaler,None
1063,Haunting Tune,Instant Effect,Vlad the Impaler,None
1064,Work Hazard,Instant Effect,Vlad the Impaler,None
1065,Secret Path,Instant Effect,Vlad the Impaler,None
1066,Bring Out Yer Dead,Instant Effect,Vlad the Impaler,None
1067,Get Thee Gone Evil,Instant Effect,Vlad the Impaler,None
1068,Bunsen Burner,Instant Effect,Vlad the Impaler,None
1069,Map of Scarwood,Instant Effect,Vlad the Impaler,None
1070,Tree Barricade,Instant Effect,Vlad the Impaler,None
1071,Get a Life You Bum,Instant Effect,Vlad the Impaler,None
1072,Hawk a Loogie,Instant Effect,Vlad the Impaler,None
1073,Pull Goblin out of Hat,Instant Effect,Vlad the Impaler,None
1074,WizWard,Instant Effect,Vlad the Impaler,None
1075,Throw Me The Idol,Instant Effect,Vlad the Impaler,None
1076,We Have the Tech...,Instant Effect,Vlad the Impaler,None
1077,Pushin' Up Daisies,Instant Effect,Vlad the Impaler,None
1078,Let's Set an Example,Instant Effect,Vlad the Impaler,None
1079,Drink This Kool-Aid,Instant Effect,Vlad the Impaler,None
1080,Library Card,Instant Effect,Vlad the Impaler,None
1081,RuneSword Effect,Instant Effect,Vlad the Impaler,None
1082,Safe Haven Effect,Instant Effect,Vlad the Impaler,None
1083,Safe Haven Sacrifice,Instant Effect,Vlad the Impaler,None
1084,Regrow Enchant,Instant Effect,Vlad the Impaler,None
1085,Cryptage,Instant Effect,Vlad the Impaler,None
1086,Dark Sphere Effect,Instant Effect,Vlad the Impaler,None
1087,The Green Man,Instant Effect,Vlad the Impaler,None
1088,Maze Effect,Instant Effect,Vlad the Impaler,None
1089,Over the Walls!,Instant Effect,Vlad the Impaler,None
1090,I Will Find You,Instant Effect,Vlad the Impaler,None
1091,What Have We Here?,Instant Effect,Vlad the Impaler,None
1092,The Love Barge...,Instant Effect,Vlad the Impaler,None
1093,That Bird Don't Fly,Instant Effect,Vlad the Impaler,None
1094,Take That You Fiend!,Instant Effect,Vlad the Impaler,None
1095,Shh. Be Vewy Qwiet...,Instant Effect,Vlad the Impaler,None
1096,Stroll in the Forest,Instant Effect,Vlad the Impaler,None
1097,Trip to the Swamp,Instant Effect,Vlad the Impaler,None
1098,Aladdin Effect,Instant Effect,Vlad the Impaler,None
1099,Lamp Effect,Instant Effect,Vlad the Impaler,None
1100,Open Sesame,Instant Effect,Vlad the Impaler,None
1101,Tim's Revenge,Instant Effect,Vlad the Impaler,None
1102,Wizard's Market,Instant Effect,Vlad the Impaler,None
1103,Abraca-pocus,Instant Effect,Vlad the Impaler,None
1104,Mrs. King,Instant Effect,Vlad the Impaler,None
1105,Kuumbaya My Lord,Instant Effect,Vlad the Impaler,None
1106,Oh water boy...,Instant Effect,Vlad the Impaler,None
1107,A girl's best friend.,Instant Effect,Vlad the Impaler,None
1108,Elephant Revival,Instant Effect,Vlad the Impaler,None
1109,Mi foresta y su foresta,Instant Effect,Vlad the Impaler,None
1110,Don't look down,Instant Effect,Vlad the Impaler,None
1111,Hizz Jackal,Instant Effect,Vlad the Impaler,None
1112,Hurricane Biff,Instant Effect,Vlad the Impaler,None
1113,Waka-waka,Instant Effect,Vlad the Impaler,None
1114,Saddlebaggage,Instant Effect,Vlad the Impaler,None
1115,Back in Bottle,Instant Effect,Vlad the Impaler,None
1116,Get A Card,Instant Effect,Vlad the Impaler,None
1117,Asp Problem,Instant Effect,Vlad the Impaler,None
1118,Vacation Resort,Instant Effect,Vlad the Impaler,None
1119,Monkey on Your Back,Instant Effect,Vlad the Impaler,None
1120,Protect Land,Instant Effect,Vlad the Impaler,None
1121,Blow Enchant,Instant Effect,Vlad the Impaler,None
1122,Walk a mile in my...,Instant Effect,Vlad the Impaler,None
1123,The trees are alive...,Instant Effect,Vlad the Impaler,None
1124,Here little piggy...,Instant Effect,Vlad the Impaler,None
1125,Wolf's howl,Instant Effect,Vlad the Impaler,None
1126,Salve of Kroog,Instant Effect,Vlad the Impaler,None
1127,Throw Me the Whip,Instant Effect,Vlad the Impaler,None
1128,Argivian Bodyshop,Instant Effect,Vlad the Impaler,None
1129,Get the Point?,Instant Effect,Vlad the Impaler,None
1130,Can Opener Bait,Instant Effect,Vlad the Impaler,None
1131,Eat em up Yum,Instant Effect,Vlad the Impaler,None
1132,Remove Counter,Instant Effect,Vlad the Impaler,None
1133,Happy Chemistry,Instant Effect,Vlad the Impaler,None
1134,Tablet Effect,Instant Effect,Vlad the Impaler,None
1135,Mana Recycling,Instant Effect,Vlad the Impaler,None
1136,Artifact Protection,Instant Effect,Vlad the Impaler,None
1137,Rewind Avian,Instant Effect,Vlad the Impaler,None
1138,Take the Helm,Instant Effect,Vlad the Impaler,None
1139,Steambreathing,Instant Effect,Vlad the Impaler,None
1140,Wartoys R Us,Instant Effect,Vlad the Impaler,None
1141,Recycle Graveyard,Instant Effect,Vlad the Impaler,None
1142,Watch for Customs,Instant Effect,Vlad the Impaler,None
1143,What Manual?,Instant Effect,Vlad the Impaler,None
1144,Pull!,Instant Effect,Vlad the Impaler,None
1145,Self Help Tome,Instant Effect,Vlad the Impaler,None
1146,Grind Away,Instant Effect,Vlad the Impaler,None
1147,Become Worker,Instant Effect,Vlad the Impaler,None
1148,Boost Worker,Instant Effect,Vlad the Impaler,None
1149,Obelisk of Undoing,Instant Effect,Vlad the Impaler,None
1150,INCOMING!,Instant Effect,Vlad the Impaler,None
1151,Gremlins in th' Works,Instant Effect,Vlad the Impaler,None
1152,Rakalite Effect,Instant Effect,Vlad the Impaler,None
1153,I'll be back...,Instant Effect,Vlad the Impaler,None
1154,Fee: One Artifact,Instant Effect,Vlad the Impaler,None
1155,Rap their Knuckles,Instant Effect,Vlad the Impaler,None
1156,Landscape Artist,Instant Effect,Vlad the Impaler,None
1157,Coffin Effect,Instant Effect,Vlad the Impaler,None
1158,Dwarves on a Stick,Instant Effect,Vlad the Impaler,None
1159,Call to Arms,Instant Effect,Vlad the Impaler,None
1160,Create Drone,Instant Effect,Vlad the Impaler,None
1161,Absorb Drone,Instant Effect,Vlad the Impaler,None
1162,Modular Avenger,Instant Effect,Vlad the Impaler,None
1163,True Possession,Instant Effect,Vlad the Impaler,None
1164,Adun's Passing,Instant Effect,Vlad the Impaler,None
1165,Up Where it's Safe,Instant Effect,Vlad the Impaler,None
1166,Shades of Grey,Instant Effect,Vlad the Impaler,None
1167,Sabboth Threat,Instant Effect,Vlad the Impaler,None
1168,Fog on a Stick,Instant Effect,Vlad the Impaler,None
1169,Rust on a Stick,Instant Effect,Vlad the Impaler,None
1170,Charge Black Battery,Instant Effect,Vlad the Impaler,None
1171,Charge Blue Battery,Instant Effect,Vlad the Impaler,None
1172,Plop goes a Devil,Instant Effect,Vlad the Impaler,None
1173,Ant Swarm,Instant Effect,Vlad the Impaler,None
1174,Ugly Mug,Instant Effect,Vlad the Impaler,None
1175,Apple? What Apple?,Instant Effect,Vlad the Impaler,None
1176,New Coat of Paint,Instant Effect,Vlad the Impaler,None
1177,Dragonfly Bite,Instant Effect,Vlad the Impaler,None
1178,Artifact Compost,Instant Effect,Vlad the Impaler,None
1179,Modular Angelfire,Instant Effect,Vlad the Impaler,None
1180,Chaotic Effect,Instant Effect,Vlad the Impaler,None
1181,Damned Ghosts,Instant Effect,Vlad the Impaler,None
1182,Sluggish Slug,Instant Effect,Vlad the Impaler,None
1183,Greater Protection,Instant Effect,Vlad the Impaler,None
1184,Gimme gimme!,Instant Effect,Vlad the Impaler,None
1185,Charge Green Battery,Instant Effect,Vlad the Impaler,None
1186,Sugar for Mommy,Instant Effect,Vlad the Impaler,None
1187,Half anyone he wants,Instant Effect,Vlad the Impaler,None
1188,Wrong Turn,Instant Effect,Vlad the Impaler,None
1189,Body Snatchers,Instant Effect,Vlad the Impaler,None
1190,Tuba Blues,Instant Effect,Vlad the Impaler,None
1191,Swampy Remedy,Instant Effect,Vlad the Impaler,None
1192,Hyperion Twiddle,Instant Effect,Vlad the Impaler,None
1193,Back in Bowl,Instant Effect,Vlad the Impaler,None
1194,Herbal Remedy,Instant Effect,Vlad the Impaler,None
1195,Bee Stings,Instant Effect,Vlad the Impaler,None
1196,Stop Fighting!,Instant Effect,Vlad the Impaler,None
1197,The Krying Game,Instant Effect,Vlad the Impaler,None
1198,Land's Edge Effect,Instant Effect,Vlad the Impaler,None
1199,There Wolf!,Instant Effect,Vlad the Impaler,None
1200,Open Wide,Instant Effect,Vlad the Impaler,None
1201,Wolves of the Hunt,Instant Effect,Vlad the Impaler,None
1202,Dark Mirror,Instant Effect,Vlad the Impaler,None
1203,Nebbiecasneezer,Instant Effect,Vlad the Impaler,None
1204,North Star Effect,Instant Effect,Vlad the Impaler,None
1205,Pentacle Redirect,Instant Effect,Vlad the Impaler,None
1206,Carrion Cud,Instant Effect,Vlad the Impaler,None
1207,Pavel PowerUp,Instant Effect,Vlad the Impaler,None
1208,Girlieman Pump Up,Instant Effect,Vlad the Impaler,None
1209,Fly and be Free!,Instant Effect,Vlad the Impaler,None
1210,Gypsy Curse,Instant Effect,Vlad the Impaler,None
1211,Psuicide is Painful,Instant Effect,Vlad the Impaler,None
1212,Earthbind on a Stick,Instant Effect,Vlad the Impaler,None
1213,Field of Honor,Instant Effect,Vlad the Impaler,None
1214,Bad Enchantment,Instant Effect,Vlad the Impaler,None
1215,Rasputin Effect,Instant Effect,Vlad the Impaler,None
1216,Charge Red Battery,Instant Effect,Vlad the Impaler,None
1217,Slap that Relic,Instant Effect,Vlad the Impaler,None
1218,Avoid Fate on a Stick,Instant Effect,Vlad the Impaler,None
1219,Adjust Sentinel,Instant Effect,Vlad the Impaler,None
1220,Snake Factory,Instant Effect,Vlad the Impaler,None
1221,Fuzzy BandsWith,Instant Effect,Vlad the Impaler,None
1222,Night Martyr,Instant Effect,Vlad the Impaler,None
1223,Gurgle Spurt,Instant Effect,Vlad the Impaler,None
1224,Sword of Wrath,Instant Effect,Vlad the Impaler,None
1225,Back in Time,Instant Effect,Vlad the Impaler,None
1226,Parties Over,Instant Effect,Vlad the Impaler,None
1227,Bullseye!,Instant Effect,Vlad the Impaler,None
